alsa	0.9.1	Apache-2.0/MIT
alsa-sys	0.3.1	MIT
async-broadcast	0.7.2	MIT OR Apache-2.0
async-channel	2.5.0	Apache-2.0 OR MIT
async-io	2.6.0	Apache-2.0 OR MIT
async-lock	3.4.2	Apache-2.0 OR MIT
async-process	2.5.0	Apache-2.0 OR MIT
async-recursion	1.1.1	MIT OR Apache-2.0
async-signal	0.2.14	Apache-2.0 OR MIT
async-task	4.7.1	Apache-2.0 OR MIT
async-trait	0.1.89	MIT OR Apache-2.0
atomic-waker	1.1.2	Apache-2.0 OR MIT
audiopus_sys	0.2.2	ISC
autocfg	1.5.1	Apache-2.0 OR MIT
base64ct	1.8.3	Apache-2.0 OR MIT
bitflags	2.11.1	MIT OR Apache-2.0
bitflags	2.13.0	MIT OR Apache-2.0
block-buffer	0.10.4	MIT OR Apache-2.0
blocking	1.6.2	Apache-2.0 OR MIT
bytes	1.12.0	MIT
camados-bt-rs	0.1.0	-
camados-channel-route	0.1.0	-
camados-client-rs	0.1.0	-
camados-conductor-rs	0.1.1	-
camados-device-status-rs	0.1.0	-
camados-entitlement	0.1.0	-
camados-fw-verify	0.1.0	-
camados-groupd-rs	0.1.3	-
camados-hw-detect	0.1.0	-
camados-jsonq	0.1.0	-
camados-netd	0.1.0	-
camados-nowplaying-rs	0.1.0	-
camados-runtime	0.1.0	-
camados-source-name	0.1.0	-
camados-update-apply-rs	0.1.0	-
cc	1.2.62	MIT OR Apache-2.0
cc	1.4.0	MIT OR Apache-2.0
cfg-if	1.0.4	MIT OR Apache-2.0
cfg_aliases	0.2.1	MIT
cmake	0.1.58	MIT OR Apache-2.0
concurrent-queue	2.5.0	Apache-2.0 OR MIT
const-oid	0.9.6	Apache-2.0 OR MIT
cpufeatures	0.2.17	MIT OR Apache-2.0
crossbeam-utils	0.8.21	MIT OR Apache-2.0
crypto-common	0.1.7	MIT OR Apache-2.0
curve25519-dalek	4.1.3	BSD-3-Clause
curve25519-dalek-derive	0.1.1	MIT/Apache-2.0
der	0.7.10	Apache-2.0 OR MIT
digest	0.10.7	MIT OR Apache-2.0
ed25519	2.2.3	Apache-2.0 OR MIT
ed25519-dalek	2.2.0	BSD-3-Clause
endi	1.1.1	MIT
enumflags2	0.7.12	MIT OR Apache-2.0
enumflags2_derive	0.7.12	MIT OR Apache-2.0
equivalent	1.0.2	Apache-2.0 OR MIT
errno	0.3.14	MIT OR Apache-2.0
event-listener	5.4.1	Apache-2.0 OR MIT
event-listener-strategy	0.5.4	Apache-2.0 OR MIT
fastrand	2.4.1	Apache-2.0 OR MIT
fiat-crypto	0.2.9	MIT OR Apache-2.0 OR BSD-1-Clause
find-msvc-tools	0.1.9	MIT OR Apache-2.0
flume	0.11.1	Apache-2.0/MIT
futures-core	0.3.32	MIT OR Apache-2.0
futures-io	0.3.32	MIT OR Apache-2.0
futures-lite	2.6.1	Apache-2.0 OR MIT
futures-macro	0.3.32	MIT OR Apache-2.0
futures-sink	0.3.32	MIT OR Apache-2.0
futures-task	0.3.32	MIT OR Apache-2.0
futures-util	0.3.32	MIT OR Apache-2.0
generic-array	0.14.7	MIT
getrandom	0.2.17	MIT OR Apache-2.0
getrandom	0.4.3	MIT OR Apache-2.0
hashbrown	0.15.5	MIT OR Apache-2.0
hashbrown	0.17.1	MIT OR Apache-2.0
hermit-abi	0.5.2	MIT OR Apache-2.0
hex	0.4.3	MIT OR Apache-2.0
if-addrs	0.13.4	MIT OR BSD-3-Clause
indexmap	2.14.0	Apache-2.0 OR MIT
indexmap	2.7.1	Apache-2.0 OR MIT
itoa	1.0.18	MIT OR Apache-2.0
libc	0.2.186	MIT OR Apache-2.0
libc	0.2.189	MIT OR Apache-2.0
libsamplerate-sys	0.1.12	BSD-2-Clause
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
lock_api	0.4.14	MIT OR Apache-2.0
log	0.4.30	MIT OR Apache-2.0
log	0.4.33	MIT OR Apache-2.0
mdns-sd	0.13.11	Apache-2.0 OR MIT
memchr	2.8.0	Unlicense OR MIT
memchr	2.8.2	Unlicense OR MIT
memchr	2.8.3	Unlicense OR MIT
memoffset	0.9.1	MIT
mio	1.2.1	MIT
nix	0.29.0	MIT
once_cell	1.21.4	MIT OR Apache-2.0
opus	0.3.1	MIT/Apache-2.0
ordered-stream	0.2.0	MIT OR Apache-2.0
parking	2.2.1	Apache-2.0 OR MIT
pin-project-lite	0.2.17	Apache-2.0 OR MIT
piper	0.2.5	MIT OR Apache-2.0
pkcs8	0.10.2	Apache-2.0 OR MIT
pkg-config	0.3.33	MIT OR Apache-2.0
polling	3.11.0	Apache-2.0 OR MIT
ppv-lite86	0.2.21	MIT OR Apache-2.0
proc-macro-crate	3.5.0	MIT OR Apache-2.0
proc-macro2	1.0.106	MIT OR Apache-2.0
proc-macro2	1.0.107	MIT OR Apache-2.0
quote	1.0.45	MIT OR Apache-2.0
quote	1.0.46	MIT OR Apache-2.0
quote	1.0.47	MIT OR Apache-2.0
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later
rand	0.8.6	MIT OR Apache-2.0
rand_chacha	0.3.1	MIT OR Apache-2.0
rand_core	0.6.4	MIT OR Apache-2.0
rustc_version	0.4.1	MIT OR Apache-2.0
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
ryu	1.0.23	Apache-2.0 OR BSL-1.0
samplerate	0.2.4	BSD-2-Clause
scopeguard	1.2.0	MIT OR Apache-2.0
semver	1.0.28	MIT OR Apache-2.0
serde	1.0.228	MIT OR Apache-2.0
serde	1.0.229	MIT OR Apache-2.0
serde_core	1.0.228	MIT OR Apache-2.0
serde_core	1.0.229	MIT OR Apache-2.0
serde_derive	1.0.228	MIT OR Apache-2.0
serde_derive	1.0.229	MIT OR Apache-2.0
serde_json	1.0.150	MIT OR Apache-2.0
serde_json	1.0.151	MIT OR Apache-2.0
serde_repr	0.1.20	MIT OR Apache-2.0
serde_yaml	0.9.34+deprecated	MIT OR Apache-2.0
sha1	0.10.6	MIT OR Apache-2.0
sha2	0.10.9	MIT OR Apache-2.0
shlex	1.3.0	MIT OR Apache-2.0
shlex	2.0.1	MIT OR Apache-2.0
signal-hook-registry	1.4.8	MIT OR Apache-2.0
signature	2.2.0	Apache-2.0 OR MIT
slab	0.4.12	MIT
socket2	0.5.10	MIT OR Apache-2.0
socket2	0.6.4	MIT OR Apache-2.0
spin	0.9.8	MIT
spki	0.7.3	Apache-2.0 OR MIT
